pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,sy_dist
"TOI-6054.01","TOI-6054","Transit",2024,7.50142800000,2.64000000,12.50000000,79.40700000
"TOI-6054.02","TOI-6054","Transit",2024,12.56363600000,2.82000000,9.30000000,79.40700000
"TOI-6130 b","TOI-6130","Transit",2024,2.39267900000,14.34749530,333.71982735,220.88200000
"Gliese 12 b","Gliese 12","Transit",2024,12.76141800000,0.93000000,0.95000000,12.21000000
"TOI-6255 b","TOI-6255","Transit",2024,0.23818244000,1.07900000,1.44000000,20.31670000
"TOI-815 c","TOI-815","Transit",2024,34.97614500000,2.62000000,23.50000000,59.71170000
"TOI-4153 b","TOI-4153","Transit",2024,4.61741410000,16.11851425,365.50266805,423.84000000
"TOI-4336 A b","TOI-4336 A","Transit",2024,16.33635100000,2.13700000,3.33000000,22.54550000
"TOI-4379 b","TOI-4379","Transit",2024,3.25352000000,16.69017226,353.74301699,645.15800000
"TOI-4438 b","TOI-4438","Transit",2024,7.44628000000,2.52000000,5.40000000,30.03460000
"TOI-4495 c","TOI-4495","Transit",2024,5.18553000000,4.03000000,23.20000000,132.21400000
"TOI-4504 c","TOI-4504","Transit",2024,82.97213000000,11.09689089,1197.32317485,342.60500000
"TOI-4515 b","TOI-4515","Transit",2024,15.26644600000,12.17000000,637.00000000,193.49900000
"TOI-4633 c","TOI-4633","Transit",2024,271.94450000000,3.20000000,123.00000000,95.20160000
"NGTS-30 b","NGTS-30","Transit",2024,98.29838000000,10.40193409,305.11527072,238.37700000
"TOI-4914 b","TOI-4914","Transit",2024,10.60057000000,12.87000000,227.00000000,299.89000000
"BD-14 3065 b","BD-14 3065 A","Transit",2024,4.28897310000,21.59000000,3932.00000000,589.42300000
"TOI-4994 b","TOI-4994","Transit",2024,21.49198400000,8.54124329,88.99195396,329.30400000
"TOI-5005 b","TOI-5005","Transit",2024,6.30850440000,6.25000000,32.70000000,207.89100000
"TOI-5076 b","TOI-5076","Transit",2024,23.44316200000,3.48935569,16.14568308,82.85700000
"TOI-5110 b","TOI-5110","Transit",2024,30.15857700000,11.98240037,921.70238030,392.25900000
"TOI-5218 b","TOI-5218","Transit",2024,4.29145200000,9.86000000,657.00000000,377.48300000
"TOI-5232 b","TOI-5232","Transit",2024,4.09666920000,12.77823800,743.71847238,609.38800000
"TOI-2537 b","TOI-2537","Transit",2024,94.10220000000,11.25381662,415.40172795,184.98600000
"TOI-2580 b","TOI-2580","Transit",2024,3.39775000000,17.37392009,200.23189641,379.25300000
"TOI-2714 b","TOI-2714","Transit",2024,2.49938700000,13.72000000,228.00000000,597.87300000
"TOI-2981 b","TOI-2981","Transit",2024,3.60150100000,13.40000000,638.00000000,527.78900000
"TOI-3071 b","TOI-3071","Transit",2024,1.26693800000,7.16000000,68.20000000,485.21900000
"NGTS-27 b","NGTS-27","Transit",2024,3.37041810000,15.64773706,188.47224535,942.12200000
"TOI-3261 b","TOI-3261","Transit",2024,0.88313310000,3.82000000,30.30000000,300.14100000
"TOI-3321 b","TOI-3321","Transit",2024,3.65251450000,15.55806521,176.07693748,285.89500000
